datetime,close,high,low,open,position,volume,symbol,symbol_group,asset_class
2017-01-03 00:00:00+00:00,113.85,114.02,112.49,113.5,0,28781900,AAPL,AAPL,STK
2017-01-04 00:00:00+00:00,113.72,114.2,113.46,113.55,0,21118100,AAPL,AAPL,STK
2017-01-05 00:00:00+00:00,114.3,114.54,113.51,113.62,0,22193600,AAPL,AAPL,STK
2017-01-06 00:00:00+00:00,115.57,115.82,114.16,114.47,0,31751900,AAPL,AAPL,STK
2017-01-07 00:00:00+00:00,115.57,115.57,115.57,115.57,0,0,AAPL,AAPL,STK
2017-01-08 00:00:00+00:00,115.57,115.57,115.57,115.57,0,0,AAPL,AAPL,STK
2017-01-09 00:00:00+00:00,116.63,117.06,115.6,115.61,0,33561900,AAPL,AAPL,STK
2017-01-10 00:00:00+00:00,116.75,117.01,115.95,116.42,0,24462100,AAPL,AAPL,STK
2017-01-11 00:00:00+00:00,117.38,117.55,116.25,116.39,0,27588600,AAPL,AAPL,STK
2017-01-12 00:00:00+00:00,116.89,116.94,115.87,116.54,0,27086200,AAPL,AAPL,STK
2017-01-13 00:00:00+00:00,116.68,117.25,116.45,116.75,0,26111900,AAPL,AAPL,STK
2017-01-14 00:00:00+00:00,116.68,116.68,116.68,116.68,0,0,AAPL,AAPL,STK
2017-01-15 00:00:00+00:00,116.68,116.68,116.68,116.68,0,0,AAPL,AAPL,STK
2017-01-16 00:00:00+00:00,116.68,116.68,116.68,116.68,0,0,AAPL,AAPL,STK
2017-01-17 00:00:00+00:00,117.62,117.86,115.88,115.99,0,34439800,AAPL,AAPL,STK
2017-01-18 00:00:00+00:00,117.61,118.11,117.34,117.62,0,23713000,AAPL,AAPL,STK
2017-01-19 00:00:00+00:00,117.41,117.71,117.0,117.03,0,25597300,AAPL,AAPL,STK
2017-01-20 00:00:00+00:00,117.62,118.06,117.36,118.06,0,32597900,AAPL,AAPL,STK
2017-01-21 00:00:00+00:00,117.62,117.62,117.62,117.62,0,0,AAPL,AAPL,STK
2017-01-22 00:00:00+00:00,117.62,117.62,117.62,117.62,0,0,AAPL,AAPL,STK
2017-01-23 00:00:00+00:00,117.7,118.42,117.4,117.62,0,22050200,AAPL,AAPL,STK
2017-01-24 00:00:00+00:00,117.59,117.72,117.13,117.18,0,23211000,AAPL,AAPL,STK
2017-01-25 00:00:00+00:00,119.46,119.68,117.9,118.03,0,32377600,AAPL,AAPL,STK
2017-01-26 00:00:00+00:00,119.52,120.01,119.19,119.26,0,26337600,AAPL,AAPL,STK
2017-01-27 00:00:00+00:00,119.53,119.92,119.19,119.72,0,20562900,AAPL,AAPL,STK
2017-01-28 00:00:00+00:00,119.53,119.53,119.53,119.53,0,0,AAPL,AAPL,STK
2017-01-29 00:00:00+00:00,119.53,119.53,119.53,119.53,0,0,AAPL,AAPL,STK
2017-01-30 00:00:00+00:00,119.22,119.22,118.27,118.53,0,30377500,AAPL,AAPL,STK
2017-01-31 00:00:00+00:00,118.94,118.98,118.23,118.75,0,49201000,AAPL,AAPL,STK
2017-02-01 00:00:00+00:00,126.2,127.9,124.49,124.51,0,111985000,AAPL,AAPL,STK
2017-02-02 00:00:00+00:00,125.98,126.83,125.25,125.44,0,33710400,AAPL,AAPL,STK
2017-02-03 00:00:00+00:00,126.52,126.63,125.62,125.77,0,24507300,AAPL,AAPL,STK
2017-02-04 00:00:00+00:00,126.52,126.52,126.52,126.52,0,0,AAPL,AAPL,STK
2017-02-05 00:00:00+00:00,126.52,126.52,126.52,126.52,0,0,AAPL,AAPL,STK
2017-02-06 00:00:00+00:00,127.71,127.91,126.34,126.57,0,26845900,AAPL,AAPL,STK
2017-02-07 00:00:00+00:00,128.92,129.47,127.86,127.95,0,38183800,AAPL,AAPL,STK
2017-02-08 00:00:00+00:00,129.42,129.6,128.62,128.75,0,23004100,AAPL,AAPL,STK
2017-02-09 00:00:00+00:00,130.36,130.39,129.08,129.6,0,28349900,AAPL,AAPL,STK
2017-02-10 00:00:00+00:00,130.06,130.87,129.99,130.4,0,20065500,AAPL,AAPL,STK
2017-02-11 00:00:00+00:00,130.06,130.06,130.06,130.06,0,0,AAPL,AAPL,STK
2017-02-12 00:00:00+00:00,130.06,130.06,130.06,130.06,0,0,AAPL,AAPL,STK
2017-02-13 00:00:00+00:00,131.21,131.74,130.68,131.01,0,23035400,AAPL,AAPL,STK
2017-02-14 00:00:00+00:00,132.92,132.99,131.17,131.39,0,33226200,AAPL,AAPL,STK
2017-02-15 00:00:00+00:00,133.4,134.15,132.52,133.41,0,35623100,AAPL,AAPL,STK
2017-02-16 00:00:00+00:00,133.24,133.78,132.74,133.56,0,22584600,AAPL,AAPL,STK
2017-02-17 00:00:00+00:00,133.61,133.71,133.0,133.0,0,22198200,AAPL,AAPL,STK
2017-02-18 00:00:00+00:00,133.61,133.61,133.61,133.61,0,0,AAPL,AAPL,STK
2017-02-19 00:00:00+00:00,133.61,133.61,133.61,133.61,0,0,AAPL,AAPL,STK
2017-02-20 00:00:00+00:00,133.61,133.61,133.61,133.61,0,0,AAPL,AAPL,STK
2017-02-21 00:00:00+00:00,134.57,134.62,133.86,134.11,0,24507200,AAPL,AAPL,STK
2017-02-22 00:00:00+00:00,134.97,134.98,133.99,134.31,0,20836900,AAPL,AAPL,STK
2017-02-23 00:00:00+00:00,134.4,135.34,134.18,135.24,0,20788200,AAPL,AAPL,STK
2017-02-24 00:00:00+00:00,134.53,134.53,133.17,133.79,0,21776600,AAPL,AAPL,STK
2017-02-25 00:00:00+00:00,134.53,134.53,134.53,134.53,0,0,AAPL,AAPL,STK
2017-02-26 00:00:00+00:00,134.53,134.53,134.53,134.53,0,0,AAPL,AAPL,STK
2017-02-27 00:00:00+00:00,134.8,135.3,134.16,135.0,0,20257400,AAPL,AAPL,STK
2017-02-28 00:00:00+00:00,134.86,135.3,134.57,134.95,0,23482900,AAPL,AAPL,STK
2017-03-01 00:00:00+00:00,137.61,137.97,135.46,135.74,0,36414600,AAPL,AAPL,STK
2017-03-02 00:00:00+00:00,136.8,138.1,136.6,137.82,0,26211000,AAPL,AAPL,STK
2017-03-03 00:00:00+00:00,137.6,137.65,136.43,136.62,0,21108100,AAPL,AAPL,STK
2017-03-04 00:00:00+00:00,137.6,137.6,137.6,137.6,0,0,AAPL,AAPL,STK
2017-03-05 00:00:00+00:00,137.6,137.6,137.6,137.6,0,0,AAPL,AAPL,STK
2017-03-06 00:00:00+00:00,137.17,137.59,136.44,137.2,0,21750000,AAPL,AAPL,STK
2017-03-07 00:00:00+00:00,137.35,137.8,136.63,136.89,0,17446300,AAPL,AAPL,STK
2017-03-08 00:00:00+00:00,136.84,137.62,136.66,136.79,0,18707200,AAPL,AAPL,STK
2017-03-09 00:00:00+00:00,136.52,136.63,134.92,136.58,0,22155900,AAPL,AAPL,STK
2017-03-10 00:00:00+00:00,136.97,137.19,136.48,137.08,0,19612800,AAPL,AAPL,STK
2017-03-11 00:00:00+00:00,136.97,136.97,136.97,136.97,0,0,AAPL,AAPL,STK
2017-03-12 00:00:00+00:00,136.97,136.97,136.97,136.97,0,0,AAPL,AAPL,STK
2017-03-13 00:00:00+00:00,137.03,137.26,136.66,136.69,0,17421700,AAPL,AAPL,STK
2017-03-14 00:00:00+00:00,136.83,137.48,136.68,137.13,0,15309100,AAPL,AAPL,STK
2017-03-15 00:00:00+00:00,138.27,138.56,136.86,137.24,0,25691800,AAPL,AAPL,STK
2017-03-16 00:00:00+00:00,138.5,138.82,138.08,138.53,0,19232000,AAPL,AAPL,STK
2017-03-17 00:00:00+00:00,137.81,138.8,137.71,138.8,0,43885000,AAPL,AAPL,STK
2017-03-18 00:00:00+00:00,137.81,137.81,137.81,137.81,0,0,AAPL,AAPL,STK
2017-03-19 00:00:00+00:00,137.81,137.81,137.81,137.81,0,0,AAPL,AAPL,STK
2017-03-20 00:00:00+00:00,139.26,139.3,138.05,138.21,0,21542000,AAPL,AAPL,STK
2017-03-21 00:00:00+00:00,137.66,140.58,137.55,139.9,0,39529900,AAPL,AAPL,STK
2017-03-22 00:00:00+00:00,139.22,139.39,137.58,137.67,0,25860200,AAPL,AAPL,STK
2017-03-23 00:00:00+00:00,138.73,139.38,138.42,139.06,0,20346300,AAPL,AAPL,STK
2017-03-24 00:00:00+00:00,138.45,139.53,138.16,139.3,0,22395600,AAPL,AAPL,STK
2017-03-25 00:00:00+00:00,138.45,138.45,138.45,138.45,0,0,AAPL,AAPL,STK
2017-03-26 00:00:00+00:00,138.45,138.45,138.45,138.45,0,0,AAPL,AAPL,STK
2017-03-27 00:00:00+00:00,138.69,139.02,136.46,137.22,0,23575100,AAPL,AAPL,STK
2017-03-28 00:00:00+00:00,141.56,141.8,138.43,138.72,0,33374800,AAPL,AAPL,STK
2017-03-29 00:00:00+00:00,141.88,142.24,140.96,141.44,0,29190000,AAPL,AAPL,STK
2017-03-30 00:00:00+00:00,141.69,142.25,141.27,141.94,0,21207300,AAPL,AAPL,STK
2017-03-31 00:00:00+00:00,141.42,142.02,140.78,141.48,0,19661700,AAPL,AAPL,STK
2017-04-01 00:00:00+00:00,141.42,141.42,141.42,141.42,0,0,AAPL,AAPL,STK
2017-04-02 00:00:00+00:00,141.42,141.42,141.42,141.42,0,0,AAPL,AAPL,STK
2017-04-03 00:00:00+00:00,141.46,141.88,140.82,141.47,0,19985700,AAPL,AAPL,STK
2017-04-04 00:00:00+00:00,142.52,142.63,140.94,141.02,0,19891400,AAPL,AAPL,STK
2017-04-05 00:00:00+00:00,141.78,143.19,141.57,141.97,0,27717900,AAPL,AAPL,STK
2017-04-06 00:00:00+00:00,141.42,142.27,141.22,142.04,0,21149000,AAPL,AAPL,STK
2017-04-07 00:00:00+00:00,141.11,141.93,141.04,141.49,0,16672200,AAPL,AAPL,STK
2017-04-08 00:00:00+00:00,141.11,141.11,141.11,141.11,0,0,AAPL,AAPL,STK
2017-04-09 00:00:00+00:00,141.11,141.11,141.11,141.11,0,0,AAPL,AAPL,STK
2017-04-10 00:00:00+00:00,140.94,141.64,140.67,141.36,0,18933400,AAPL,AAPL,STK
2017-04-11 00:00:00+00:00,139.42,141.12,137.88,140.71,0,30379400,AAPL,AAPL,STK
2017-04-12 00:00:00+00:00,139.59,139.94,138.81,139.39,0,20350000,AAPL,AAPL,STK
2017-04-13 00:00:00+00:00,138.85,140.16,138.85,139.7,0,17822900,AAPL,AAPL,STK
2017-04-14 00:00:00+00:00,138.85,138.85,138.85,138.85,0,0,AAPL,AAPL,STK
2017-04-15 00:00:00+00:00,138.85,138.85,138.85,138.85,0,0,AAPL,AAPL,STK
2017-04-16 00:00:00+00:00,138.85,138.85,138.85,138.85,0,0,AAPL,AAPL,STK
2017-04-17 00:00:00+00:00,139.62,139.67,138.68,139.28,0,16582100,AAPL,AAPL,STK
2017-04-18 00:00:00+00:00,139.0,139.83,138.91,139.21,0,14697500,AAPL,AAPL,STK
2017-04-19 00:00:00+00:00,138.49,139.79,138.26,139.67,0,17328400,AAPL,AAPL,STK
2017-04-20 00:00:00+00:00,140.22,140.69,138.96,139.02,0,23319600,AAPL,AAPL,STK
2017-04-21 00:00:00+00:00,140.05,140.46,139.64,140.22,0,17320900,AAPL,AAPL,STK
2017-04-22 00:00:00+00:00,140.05,140.05,140.05,140.05,0,0,AAPL,AAPL,STK
2017-04-23 00:00:00+00:00,140.05,140.05,140.05,140.05,0,0,AAPL,AAPL,STK
2017-04-24 00:00:00+00:00,141.4,141.71,140.95,141.27,0,17134300,AAPL,AAPL,STK
2017-04-25 00:00:00+00:00,142.28,142.64,141.63,141.67,0,18871500,AAPL,AAPL,STK
2017-04-26 00:00:00+00:00,141.44,142.35,141.15,142.22,0,20041200,AAPL,AAPL,STK
2017-04-27 00:00:00+00:00,141.55,141.91,141.08,141.68,0,14246300,AAPL,AAPL,STK
2017-04-28 00:00:00+00:00,141.41,142.05,141.04,141.85,0,20860400,AAPL,AAPL,STK
2017-04-29 00:00:00+00:00,141.41,141.41,141.41,141.41,0,0,AAPL,AAPL,STK
2017-04-30 00:00:00+00:00,141.41,141.41,141.41,141.41,0,0,AAPL,AAPL,STK
2017-05-01 00:00:00+00:00,144.3,144.91,142.7,142.84,0,33602900,AAPL,AAPL,STK
2017-05-02 00:00:00+00:00,145.21,145.78,144.55,145.24,0,45352200,AAPL,AAPL,STK
2017-05-03 00:00:00+00:00,144.77,145.19,142.02,143.32,0,45697000,AAPL,AAPL,STK
2017-05-04 00:00:00+00:00,144.25,144.85,143.54,144.24,0,23371900,AAPL,AAPL,STK
2017-05-05 00:00:00+00:00,146.64,146.66,144.47,144.47,0,27327700,AAPL,AAPL,STK
2017-05-06 00:00:00+00:00,146.64,146.64,146.64,146.64,0,0,AAPL,AAPL,STK
2017-05-07 00:00:00+00:00,146.64,146.64,146.64,146.64,0,0,AAPL,AAPL,STK
2017-05-08 00:00:00+00:00,150.63,151.31,146.71,146.71,0,48752400,AAPL,AAPL,STK
2017-05-09 00:00:00+00:00,151.59,152.47,151.06,151.47,0,39130400,AAPL,AAPL,STK
2017-05-10 00:00:00+00:00,150.87,151.54,149.74,151.24,0,25805700,AAPL,AAPL,STK
2017-05-11 00:00:00+00:00,152.18,152.3,150.56,150.7,0,27255100,AAPL,AAPL,STK
2017-05-12 00:00:00+00:00,154.3,154.62,152.89,152.92,0,32527000,AAPL,AAPL,STK
2017-05-13 00:00:00+00:00,154.3,154.3,154.3,154.3,0,0,AAPL,AAPL,STK
2017-05-14 00:00:00+00:00,154.3,154.3,154.3,154.3,0,0,AAPL,AAPL,STK
2017-05-15 00:00:00+00:00,153.91,154.85,153.27,154.21,0,26009700,AAPL,AAPL,STK
2017-05-16 00:00:00+00:00,153.68,154.26,152.94,154.15,0,20048500,AAPL,AAPL,STK
2017-05-17 00:00:00+00:00,148.52,152.79,147.99,151.83,0,50767700,AAPL,AAPL,STK
2017-05-18 00:00:00+00:00,150.78,151.58,149.39,149.53,0,33568200,AAPL,AAPL,STK
2017-05-19 00:00:00+00:00,151.3,152.21,150.87,151.61,0,26960800,AAPL,AAPL,STK
2017-05-20 00:00:00+00:00,151.3,151.3,151.3,151.3,0,0,AAPL,AAPL,STK
2017-05-21 00:00:00+00:00,151.3,151.3,151.3,151.3,0,0,AAPL,AAPL,STK
2017-05-22 00:00:00+00:00,152.22,152.8,151.15,152.23,0,22966400,AAPL,AAPL,STK
2017-05-23 00:00:00+00:00,152.03,153.12,151.55,153.12,0,19918900,AAPL,AAPL,STK
2017-05-24 00:00:00+00:00,151.58,152.4,150.91,152.07,0,19178000,AAPL,AAPL,STK
2017-05-25 00:00:00+00:00,152.1,152.57,151.27,151.96,0,19235600,AAPL,AAPL,STK
2017-05-26 00:00:00+00:00,151.84,152.46,151.55,152.23,0,21701100,AAPL,AAPL,STK
2017-05-27 00:00:00+00:00,151.84,151.84,151.84,151.84,0,0,AAPL,AAPL,STK
2017-05-28 00:00:00+00:00,151.84,151.84,151.84,151.84,0,0,AAPL,AAPL,STK
2017-05-29 00:00:00+00:00,151.84,151.84,151.84,151.84,0,0,AAPL,AAPL,STK
2017-05-30 00:00:00+00:00,151.9,152.65,151.57,151.65,0,20126900,AAPL,AAPL,STK
2017-05-31 00:00:00+00:00,151.0,152.4,150.63,152.2,0,24451200,AAPL,AAPL,STK
2017-06-01 00:00:00+00:00,151.42,151.57,150.47,151.41,0,16404100,AAPL,AAPL,STK
2017-06-02 00:00:00+00:00,153.66,153.66,151.13,151.81,0,27770700,AAPL,AAPL,STK
2017-06-03 00:00:00+00:00,153.66,153.66,153.66,153.66,0,0,AAPL,AAPL,STK
2017-06-04 00:00:00+00:00,153.66,153.66,153.66,153.66,0,0,AAPL,AAPL,STK
2017-06-05 00:00:00+00:00,152.16,152.67,151.69,152.56,0,25331700,AAPL,AAPL,STK
2017-06-06 00:00:00+00:00,152.67,154.02,152.01,152.13,0,26624900,AAPL,AAPL,STK
2017-06-07 00:00:00+00:00,153.58,154.18,152.7,153.24,0,21069600,AAPL,AAPL,STK
2017-06-08 00:00:00+00:00,153.21,153.75,152.62,153.46,0,21250800,AAPL,AAPL,STK
2017-06-09 00:00:00+00:00,147.27,153.4,144.34,153.4,0,64882700,AAPL,AAPL,STK
2017-06-10 00:00:00+00:00,147.27,147.27,147.27,147.27,0,0,AAPL,AAPL,STK
2017-06-11 00:00:00+00:00,147.27,147.27,147.27,147.27,0,0,AAPL,AAPL,STK
2017-06-12 00:00:00+00:00,143.75,144.41,140.87,144.06,0,72307300,AAPL,AAPL,STK
2017-06-13 00:00:00+00:00,144.9,145.75,143.48,145.47,0,34165400,AAPL,AAPL,STK
2017-06-14 00:00:00+00:00,143.49,145.8,142.18,145.8,0,31531200,AAPL,AAPL,STK
2017-06-15 00:00:00+00:00,142.63,142.82,140.57,141.67,0,32165400,AAPL,AAPL,STK
2017-06-16 00:00:00+00:00,140.63,142.84,140.56,142.13,0,50361100,AAPL,AAPL,STK
2017-06-17 00:00:00+00:00,140.63,140.63,140.63,140.63,0,0,AAPL,AAPL,STK
2017-06-18 00:00:00+00:00,140.63,140.63,140.63,140.63,0,0,AAPL,AAPL,STK
2017-06-19 00:00:00+00:00,144.66,145.05,142.01,142.01,0,32541400,AAPL,AAPL,STK
2017-06-20 00:00:00+00:00,143.34,145.18,143.27,145.18,0,24900100,AAPL,AAPL,STK
2017-06-21 00:00:00+00:00,144.19,144.39,142.95,143.85,0,21265800,AAPL,AAPL,STK
2017-06-22 00:00:00+00:00,143.95,145.01,143.45,144.09,0,19106300,AAPL,AAPL,STK
2017-06-23 00:00:00+00:00,144.6,145.47,143.44,143.46,0,35439400,AAPL,AAPL,STK
2017-06-24 00:00:00+00:00,144.6,144.6,144.6,144.6,0,0,AAPL,AAPL,STK
2017-06-25 00:00:00+00:00,144.6,144.6,144.6,144.6,0,0,AAPL,AAPL,STK
2017-06-26 00:00:00+00:00,144.14,146.57,143.71,145.48,0,25692400,AAPL,AAPL,STK
2017-06-27 00:00:00+00:00,142.08,144.48,141.97,143.34,0,24761900,AAPL,AAPL,STK
2017-06-28 00:00:00+00:00,144.15,144.43,141.51,142.83,0,22082400,AAPL,AAPL,STK
2017-06-29 00:00:00+00:00,142.03,143.46,140.64,143.04,0,31499400,AAPL,AAPL,STK
2017-06-30 00:00:00+00:00,142.36,143.29,142.13,142.79,0,23024100,AAPL,AAPL,STK
2017-07-01 00:00:00+00:00,142.36,142.36,142.36,142.36,0,0,AAPL,AAPL,STK
2017-07-02 00:00:00+00:00,142.36,142.36,142.36,142.36,0,0,AAPL,AAPL,STK
2017-07-03 00:00:00+00:00,141.85,143.63,141.45,143.21,0,14258300,AAPL,AAPL,STK
2017-07-04 00:00:00+00:00,141.85,141.85,141.85,141.85,0,0,AAPL,AAPL,STK
2017-07-05 00:00:00+00:00,142.43,143.12,141.08,142.04,0,21569600,AAPL,AAPL,STK
2017-07-06 00:00:00+00:00,141.09,141.85,140.77,141.37,0,24128800,AAPL,AAPL,STK
2017-07-07 00:00:00+00:00,142.52,143.08,141.26,141.26,0,19201700,AAPL,AAPL,STK
2017-07-08 00:00:00+00:00,142.52,142.52,142.52,142.52,0,0,AAPL,AAPL,STK
2017-07-09 00:00:00+00:00,142.52,142.52,142.52,142.52,0,0,AAPL,AAPL,STK
2017-07-10 00:00:00+00:00,143.39,144.27,141.72,142.45,0,21090600,AAPL,AAPL,STK
2017-07-11 00:00:00+00:00,143.85,144.17,142.72,143.06,0,19781800,AAPL,AAPL,STK
2017-07-12 00:00:00+00:00,144.06,144.5,143.15,144.19,0,24884500,AAPL,AAPL,STK
2017-07-13 00:00:00+00:00,146.07,146.78,143.77,143.83,0,25199400,AAPL,AAPL,STK
2017-07-14 00:00:00+00:00,147.32,147.61,145.63,146.27,0,20132100,AAPL,AAPL,STK
2017-07-15 00:00:00+00:00,147.32,147.32,147.32,147.32,0,0,AAPL,AAPL,STK
2017-07-16 00:00:00+00:00,147.32,147.32,147.32,147.32,0,0,AAPL,AAPL,STK
2017-07-17 00:00:00+00:00,147.84,149.16,146.86,147.11,0,23793500,AAPL,AAPL,STK
2017-07-18 00:00:00+00:00,148.35,148.4,146.96,147.48,0,17868800,AAPL,AAPL,STK
2017-07-19 00:00:00+00:00,149.28,149.68,148.22,148.75,0,20923000,AAPL,AAPL,STK
2017-07-20 00:00:00+00:00,148.61,149.99,148.46,149.76,0,17243700,AAPL,AAPL,STK
2017-07-21 00:00:00+00:00,148.54,148.71,147.17,148.26,0,26252600,AAPL,AAPL,STK
2017-07-22 00:00:00+00:00,148.54,148.54,148.54,148.54,0,0,AAPL,AAPL,STK
2017-07-23 00:00:00+00:00,148.54,148.54,148.54,148.54,0,0,AAPL,AAPL,STK
2017-07-24 00:00:00+00:00,150.34,150.69,148.17,148.85,0,21493200,AAPL,AAPL,STK
2017-07-25 00:00:00+00:00,150.98,152.07,150.05,150.05,0,18853900,AAPL,AAPL,STK
